Local Authority,Attribute,Financial Year,Sum of Value
Rossendale Borough Council,Non-household - estimated rejects (tonnes),2019,0
Rossendale Borough Council,Non-household - estimated rejects (tonnes),2020,0
Rossendale Borough Council,Non-household - estimated rejects (tonnes),2021,0
Rossendale Borough Council,Non-household - estimated rejects (tonnes),2022,0
Rossendale Borough Council,Non-household - estimated rejects (tonnes),2023,0
Rossendale Borough Council,Non-household - total waste (tonnes),2014,1139
Rossendale Borough Council,Non-household - total waste (tonnes),2015,1518
Rossendale Borough Council,Non-household - total waste (tonnes),2016,1502
Rossendale Borough Council,Non-household - total waste (tonnes),2017,1515
Rossendale Borough Council,Non-household - total waste (tonnes),2018,1601
Rossendale Borough Council,Non-household - total waste (tonnes),2019,1478
Rossendale Borough Council,Non-household - total waste (tonnes),2020,1390
Rossendale Borough Council,Non-household - total waste (tonnes),2021,1603
Rossendale Borough Council,Non-household - total waste (tonnes),2022,1787
Rossendale Borough Council,Non-household - total waste (tonnes),2023,1770
Rossendale Borough Council,Non-household - waste not sent for recycling (tonnes),2014,843
Rossendale Borough Council,Non-household - waste not sent for recycling (tonnes),2015,1109
Rossendale Borough Council,Non-household - waste not sent for recycling (tonnes),2016,868
Rossendale Borough Council,Non-household - waste not sent for recycling (tonnes),2017,1097
Rossendale Borough Council,Non-household - waste not sent for recycling (tonnes),2018,1160
Rossendale Borough Council,Non-household - waste not sent for recycling (tonnes),2019,1038
Rossendale Borough Council,Non-household - waste not sent for recycling (tonnes),2020,1002
Rossendale Borough Council,Non-household - waste not sent for recycling (tonnes),2021,1171
Rossendale Borough Council,Non-household - waste not sent for recycling (tonnes),2022,1219
Rossendale Borough Council,Non-household - waste not sent for recycling (tonnes),2023,1227
Rossendale Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,296
Rossendale Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,409
Rossendale Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,633
Rossendale Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,417
Rossendale Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,441
Rossendale Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2019,440
Rossendale Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2020,388
Rossendale Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2021,432
Rossendale Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2022,568
Rossendale Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2023,543
Rossendale Borough Council,Total local authority collected waste (tonnes),2014,24866
Rossendale Borough Council,Total local authority collected waste (tonnes),2015,25915
Rossendale Borough Council,Total local authority collected waste (tonnes),2016,25968
Rossendale Borough Council,Total local authority collected waste (tonnes),2017,25492
Rossendale Borough Council,Total local authority collected waste (tonnes),2018,25205
Rossendale Borough Council,Total local authority collected waste (tonnes),2019,25436
Rossendale Borough Council,Total local authority collected waste (tonnes),2020,26987
Rossendale Borough Council,Total local authority collected waste (tonnes),2021,27320
Rossendale Borough Council,Total local authority collected waste (tonnes),2022,25952
Rossendale Borough Council,Total local authority collected waste (tonnes),2023,25979
South Ribble Borough Council,Household - civic amenity sites (not recycled) (tonnes),2014,0
South Ribble Borough Council,Household - civic amenity sites (not recycled) (tonnes),2015,0
South Ribble Borough Council,Household - civic amenity sites (not recycled) (tonnes),2016,0
South Ribble Borough Council,Household - civic amenity sites (not recycled) (tonnes),2017,0
South Ribble Borough Council,Household - civic amenity sites (not recycled) (tonnes),2018,0
South Ribble Borough Council,Household - civic amenity sites (not recycled) (tonnes),2019,0
South Ribble Borough Council,Household - civic amenity sites (not recycled) (tonnes),2020,0
South Ribble Borough Council,Household - civic amenity sites (not recycled) (tonnes),2021,0
South Ribble Borough Council,Household - civic amenity sites (not recycled) (tonnes),2022,0
South Ribble Borough Council,Household - civic amenity sites (not recycled) (tonnes),2023,0
South Ribble Borough Council,Household - estimated rejects (tonnes),2014,611
South Ribble Borough Council,Household - estimated rejects (tonnes),2015,1109
South Ribble Borough Council,Household - estimated rejects (tonnes),2016,1217
South Ribble Borough Council,Household - estimated rejects (tonnes),2017,1337
South Ribble Borough Council,Household - estimated rejects (tonnes),2018,1325
South Ribble Borough Council,Household - estimated rejects (tonnes),2019,615
South Ribble Borough Council,Household - estimated rejects (tonnes),2020,1404
South Ribble Borough Council,Household - estimated rejects (tonnes),2021,1096
South Ribble Borough Council,Household - estimated rejects (tonnes),2022,1380
South Ribble Borough Council,Household - estimated rejects (tonnes),2023,1315
South Ribble Borough Council,Household - other sources (not recycled) (tonnes),2014,2297
South Ribble Borough Council,Household - other sources (not recycled) (tonnes),2015,2423
South Ribble Borough Council,Household - other sources (not recycled) (tonnes),2016,2236
South Ribble Borough Council,Household - other sources (not recycled) (tonnes),2017,2363
South Ribble Borough Council,Household - other sources (not recycled) (tonnes),2018,2480
South Ribble Borough Council,Household - other sources (not recycled) (tonnes),2019,2199
South Ribble Borough Council,Household - other sources (not recycled) (tonnes),2020,2397
South Ribble Borough Council,Household - other sources (not recycled) (tonnes),2021,2181
South Ribble Borough Council,Household - other sources (not recycled) (tonnes),2022,2120
South Ribble Borough Council,Household - other sources (not recycled) (tonnes),2023,2250
South Ribble Borough Council,Household - regular collection (not recycled) (tonnes),2014,18804
South Ribble Borough Council,Household - regular collection (not recycled) (tonnes),2015,18738
South Ribble Borough Council,Household - regular collection (not recycled) (tonnes),2016,19803
South Ribble Borough Council,Household - regular collection (not recycled) (tonnes),2017,19524
South Ribble Borough Council,Household - regular collection (not recycled) (tonnes),2018,19367
South Ribble Borough Council,Household - regular collection (not recycled) (tonnes),2019,19281
South Ribble Borough Council,Household - regular collection (not recycled) (tonnes),2020,21688
South Ribble Borough Council,Household - regular collection (not recycled) (tonnes),2021,20282
South Ribble Borough Council,Household - regular collection (not recycled) (tonnes),2022,18694
South Ribble Borough Council,Household - regular collection (not recycled) (tonnes),2023,19760
South Ribble Borough Council,Household - total waste (tonnes),2014,42908
South Ribble Borough Council,Household - total waste (tonnes),2015,43975
South Ribble Borough Council,Household - total waste (tonnes),2016,44211
South Ribble Borough Council,Household - total waste (tonnes),2017,43406
South Ribble Borough Council,Household - total waste (tonnes),2018,40471
South Ribble Borough Council,Household - total waste (tonnes),2019,41059
South Ribble Borough Council,Household - total waste (tonnes),2020,46726
South Ribble Borough Council,Household - total waste (tonnes),2021,43237
South Ribble Borough Council,Household - total waste (tonnes),2022,40787
South Ribble Borough Council,Household - total waste (tonnes),2023,41296
South Ribble Borough Council,Household - waste not sent for recycling (tonnes),2014,21711
South Ribble Borough Council,Household - waste not sent for recycling (tonnes),2015,22270
South Ribble Borough Council,Household - waste not sent for recycling (tonnes),2016,23257
South Ribble Borough Council,Household - waste not sent for recycling (tonnes),2017,23223
South Ribble Borough Council,Household - waste not sent for recycling (tonnes),2018,23172
South Ribble Borough Council,Household - waste not sent for recycling (tonnes),2019,22095
South Ribble Borough Council,Household - waste not sent for recycling (tonnes),2020,25489
South Ribble Borough Council,Household - waste not sent for recycling (tonnes),2021,23558
South Ribble Borough Council,Household - waste not sent for recycling (tonnes),2022,22194
South Ribble Borough Council,Household - waste not sent for recycling (tonnes),2023,23324
South Ribble Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,21197
South Ribble Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,21705
South Ribble Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,20955
South Ribble Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,20183
South Ribble Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2018,17299
South Ribble Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2019,18964
South Ribble Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2020,21237
South Ribble Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2021,19679
South Ribble Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2022,18593
South Ribble Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,17972
South Ribble Borough Council,Household dry recycling-reuse (tonnes),2014,10459
South Ribble Borough Council,Household dry recycling-reuse (tonnes),2015,10122
South Ribble Borough Council,Household dry recycling-reuse (tonnes),2016,9480
South Ribble Borough Council,Household dry recycling-reuse (tonnes),2017,9578
South Ribble Borough Council,Household dry recycling-reuse (tonnes),2018,9515
South Ribble Borough Council,Household dry recycling-reuse (tonnes),2019,10130
South Ribble Borough Council,Household dry recycling-reuse (tonnes),2020,11468
South Ribble Borough Council,Household dry recycling-reuse (tonnes),2021,10723
South Ribble Borough Council,Household dry recycling-reuse (tonnes),2022,10195
South Ribble Borough Council,Household dry recycling-reuse (tonnes),2023,9168
South Ribble Borough Council,Household green recycling-reuse (tonnes),2014,10738
South Ribble Borough Council,Household green recycling-reuse (tonnes),2015,11583
South Ribble Borough Council,Household green recycling-reuse (tonnes),2016,11474
South Ribble Borough Council,Household green recycling-reuse (tonnes),2017,10605
South Ribble Borough Council,Household green recycling-reuse (tonnes),2018,7784
South Ribble Borough Council,Household green recycling-reuse (tonnes),2019,8834
South Ribble Borough Council,Household green recycling-reuse (tonnes),2020,9769
South Ribble Borough Council,Household green recycling-reuse (tonnes),2021,8955
South Ribble Borough Council,Household green recycling-reuse (tonnes),2022,8398
South Ribble Borough Council,Household green recycling-reuse (tonnes),2023,8804
South Ribble Borough Council,Local authority collected - estimated rejects (tonnes),2014,611
South Ribble Borough Council,Local authority collected - estimated rejects (tonnes),2015,1109
South Ribble Borough Council,Local authority collected - estimated rejects (tonnes),2016,1217
South Ribble Borough Council,Local authority collected - estimated rejects (tonnes),2017,1337
South Ribble Borough Council,Local authority collected - estimated rejects (tonnes),2018,1325
South Ribble Borough Council,Local authority collected - estimated rejects (tonnes),2019,615
South Ribble Borough Council,Local authority collected - estimated rejects (tonnes),2020,1404
South Ribble Borough Council,Local authority collected - estimated rejects (tonnes),2021,1096
South Ribble Borough Council,Local authority collected - estimated rejects (tonnes),2022,1380
South Ribble Borough Council,Local authority collected - estimated rejects (tonnes),2023,1315
South Ribble Borough Council,Local authority collected waste - not sent for recycling (tonnes),2014,23644
South Ribble Borough Council,Local authority collected waste - not sent for recycling (tonnes),2015,24161
South Ribble Borough Council,Local authority collected waste - not sent for recycling (tonnes),2016,24676
South Ribble Borough Council,Local authority collected waste - not sent for recycling (tonnes),2017,24779
South Ribble Borough Council,Local authority collected waste - not sent for recycling (tonnes),2018,24828
South Ribble Borough Council,Local authority collected waste - not sent for recycling (tonnes),2019,24063
South Ribble Borough Council,Local authority collected waste - not sent for recycling (tonnes),2020,27416
South Ribble Borough Council,Local authority collected waste - not sent for recycling (tonnes),2021,25572
South Ribble Borough Council,Local authority collected waste - not sent for recycling (tonnes),2022,23993
South Ribble Borough Council,Local authority collected waste - not sent for recycling (tonnes),2023,25204
South Ribble Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,21298
South Ribble Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,21877
South Ribble Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,21575
South Ribble Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,20552
South Ribble Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,17470
South Ribble Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,19203
South Ribble Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,21398
South Ribble Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,19896
South Ribble Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,18853
South Ribble Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2023,18146
South Ribble Borough Council,Non-household - estimated rejects (tonnes),2014,0
South Ribble Borough Council,Non-household - estimated rejects (tonnes),2015,0
South Ribble Borough Council,Non-household - estimated rejects (tonnes),2016,0
South Ribble Borough Council,Non-household - estimated rejects (tonnes),2017,0
South Ribble Borough Council,Non-household - estimated rejects (tonnes),2018,0
South Ribble Borough Council,Non-household - estimated rejects (tonnes),2019,0
South Ribble Borough Council,Non-household - estimated rejects (tonnes),2020,0
South Ribble Borough Council,Non-household - estimated rejects (tonnes),2021,0
South Ribble Borough Council,Non-household - estimated rejects (tonnes),2022,0
South Ribble Borough Council,Non-household - estimated rejects (tonnes),2023,0
South Ribble Borough Council,Non-household - total waste (tonnes),2014,2034
South Ribble Borough Council,Non-household - total waste (tonnes),2015,2064
South Ribble Borough Council,Non-household - total waste (tonnes),2016,2039
South Ribble Borough Council,Non-household - total waste (tonnes),2017,1925
South Ribble Borough Council,Non-household - total waste (tonnes),2018,1827
South Ribble Borough Council,Non-household - total waste (tonnes),2019,2207
South Ribble Borough Council,Non-household - total waste (tonnes),2020,2088
South Ribble Borough Council,Non-household - total waste (tonnes),2021,2231
South Ribble Borough Council,Non-household - total waste (tonnes),2022,2059
South Ribble Borough Council,Non-household - total waste (tonnes),2023,2055
South Ribble Borough Council,Non-household - waste not sent for recycling (tonnes),2014,1933
South Ribble Borough Council,Non-household - waste not sent for recycling (tonnes),2015,1891
South Ribble Borough Council,Non-household - waste not sent for recycling (tonnes),2016,1419
South Ribble Borough Council,Non-household - waste not sent for recycling (tonnes),2017,1555
South Ribble Borough Council,Non-household - waste not sent for recycling (tonnes),2018,1657
South Ribble Borough Council,Non-household - waste not sent for recycling (tonnes),2019,1968
South Ribble Borough Council,Non-household - waste not sent for recycling (tonnes),2020,1928
South Ribble Borough Council,Non-household - waste not sent for recycling (tonnes),2021,2013
South Ribble Borough Council,Non-household - waste not sent for recycling (tonnes),2022,1799
South Ribble Borough Council,Non-household - waste not sent for recycling (tonnes),2023,1880
South Ribble Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,101
South Ribble Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,172
South Ribble Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,620
South Ribble Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,369
South Ribble Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,170
South Ribble Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2019,239
South Ribble Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2020,161
South Ribble Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2021,217
South Ribble Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2022,260
South Ribble Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2023,175
South Ribble Borough Council,Total local authority collected waste (tonnes),2014,44942
South Ribble Borough Council,Total local authority collected waste (tonnes),2015,46038
South Ribble Borough Council,Total local authority collected waste (tonnes),2016,46251
South Ribble Borough Council,Total local authority collected waste (tonnes),2017,45331
South Ribble Borough Council,Total local authority collected waste (tonnes),2018,42298
South Ribble Borough Council,Total local authority collected waste (tonnes),2019,43266
South Ribble Borough Council,Total local authority collected waste (tonnes),2020,48814
South Ribble Borough Council,Total local authority collected waste (tonnes),2021,45468
South Ribble Borough Council,Total local authority collected waste (tonnes),2022,42847
South Ribble Borough Council,Total local authority collected waste (tonnes),2023,43351
West Lancashire Borough Council,Household - civic amenity sites (not recycled) (tonnes),2014,0
West Lancashire Borough Council,Household - civic amenity sites (not recycled) (tonnes),2015,0
West Lancashire Borough Council,Household - civic amenity sites (not recycled) (tonnes),2016,0
West Lancashire Borough Council,Household - civic amenity sites (not recycled) (tonnes),2017,0
West Lancashire Borough Council,Household - civic amenity sites (not recycled) (tonnes),2018,0
West Lancashire Borough Council,Household - civic amenity sites (not recycled) (tonnes),2019,0
West Lancashire Borough Council,Household - civic amenity sites (not recycled) (tonnes),2020,0
West Lancashire Borough Council,Household - civic amenity sites (not recycled) (tonnes),2021,0
West Lancashire Borough Council,Household - civic amenity sites (not recycled) (tonnes),2022,0
West Lancashire Borough Council,Household - civic amenity sites (not recycled) (tonnes),2023,0
West Lancashire Borough Council,Household - estimated rejects (tonnes),2014,274
West Lancashire Borough Council,Household - estimated rejects (tonnes),2015,873
West Lancashire Borough Council,Household - estimated rejects (tonnes),2016,1051
West Lancashire Borough Council,Household - estimated rejects (tonnes),2017,1308
West Lancashire Borough Council,Household - estimated rejects (tonnes),2018,1265
West Lancashire Borough Council,Household - estimated rejects (tonnes),2019,848
West Lancashire Borough Council,Household - estimated rejects (tonnes),2020,792
West Lancashire Borough Council,Household - estimated rejects (tonnes),2021,601
West Lancashire Borough Council,Household - estimated rejects (tonnes),2022,910
West Lancashire Borough Council,Household - estimated rejects (tonnes),2023,945
West Lancashire Borough Council,Household - other sources (not recycled) (tonnes),2014,1023
West Lancashire Borough Council,Household - other sources (not recycled) (tonnes),2015,1093
West Lancashire Borough Council,Household - other sources (not recycled) (tonnes),2016,914
West Lancashire Borough Council,Household - other sources (not recycled) (tonnes),2017,1942
West Lancashire Borough Council,Household - other sources (not recycled) (tonnes),2018,3198
West Lancashire Borough Council,Household - other sources (not recycled) (tonnes),2019,3474
West Lancashire Borough Council,Household - other sources (not recycled) (tonnes),2020,2815
West Lancashire Borough Council,Household - other sources (not recycled) (tonnes),2021,4067
West Lancashire Borough Council,Household - other sources (not recycled) (tonnes),2022,3719
West Lancashire Borough Council,Household - other sources (not recycled) (tonnes),2023,2967
West Lancashire Borough Council,Household - regular collection (not recycled) (tonnes),2014,23659
West Lancashire Borough Council,Household - regular collection (not recycled) (tonnes),2015,22846
West Lancashire Borough Council,Household - regular collection (not recycled) (tonnes),2016,22865
West Lancashire Borough Council,Household - regular collection (not recycled) (tonnes),2017,21464
West Lancashire Borough Council,Household - regular collection (not recycled) (tonnes),2018,19647
West Lancashire Borough Council,Household - regular collection (not recycled) (tonnes),2019,19371
West Lancashire Borough Council,Household - regular collection (not recycled) (tonnes),2020,22000
West Lancashire Borough Council,Household - regular collection (not recycled) (tonnes),2021,21228
West Lancashire Borough Council,Household - regular collection (not recycled) (tonnes),2022,21145
West Lancashire Borough Council,Household - regular collection (not recycled) (tonnes),2023,21513
West Lancashire Borough Council,Household - total waste (tonnes),2014,45636
West Lancashire Borough Council,Household - total waste (tonnes),2015,47154
West Lancashire Borough Council,Household - total waste (tonnes),2016,46954
West Lancashire Borough Council,Household - total waste (tonnes),2017,43315
West Lancashire Borough Council,Household - total waste (tonnes),2018,42872
West Lancashire Borough Council,Household - total waste (tonnes),2019,44417
West Lancashire Borough Council,Household - total waste (tonnes),2020,49328
West Lancashire Borough Council,Household - total waste (tonnes),2021,49302
West Lancashire Borough Council,Household - total waste (tonnes),2022,46443
West Lancashire Borough Council,Household - total waste (tonnes),2023,46246
West Lancashire Borough Council,Household - waste not sent for recycling (tonnes),2014,24956
West Lancashire Borough Council,Household - waste not sent for recycling (tonnes),2015,24812
West Lancashire Borough Council,Household - waste not sent for recycling (tonnes),2016,24830
West Lancashire Borough Council,Household - waste not sent for recycling (tonnes),2017,24714
West Lancashire Borough Council,Household - waste not sent for recycling (tonnes),2018,24110
West Lancashire Borough Council,Household - waste not sent for recycling (tonnes),2019,23692
West Lancashire Borough Council,Household - waste not sent for recycling (tonnes),2020,25607
West Lancashire Borough Council,Household - waste not sent for recycling (tonnes),2021,25896
West Lancashire Borough Council,Household - waste not sent for recycling (tonnes),2022,25774
West Lancashire Borough Council,Household - waste not sent for recycling (tonnes),2023,25425
West Lancashire Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2014,20679
West Lancashire Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2015,22342
West Lancashire Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2016,22124
West Lancashire Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2017,18601
West Lancashire Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2018,18762
West Lancashire Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2019,20726
West Lancashire Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2020,23721
West Lancashire Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2021,23407
West Lancashire Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2022,20669
West Lancashire Borough Council,Household - waste sent for recycling-composting-reuse (tonnes),2023,20821
West Lancashire Borough Council,Household dry recycling-reuse (tonnes),2014,9901
West Lancashire Borough Council,Household dry recycling-reuse (tonnes),2015,10591
West Lancashire Borough Council,Household dry recycling-reuse (tonnes),2016,10057
West Lancashire Borough Council,Household dry recycling-reuse (tonnes),2017,9353
West Lancashire Borough Council,Household dry recycling-reuse (tonnes),2018,9759
West Lancashire Borough Council,Household dry recycling-reuse (tonnes),2019,10713
West Lancashire Borough Council,Household dry recycling-reuse (tonnes),2020,12867
West Lancashire Borough Council,Household dry recycling-reuse (tonnes),2021,13380
West Lancashire Borough Council,Household dry recycling-reuse (tonnes),2022,11721
West Lancashire Borough Council,Household dry recycling-reuse (tonnes),2023,11204
West Lancashire Borough Council,Household green recycling-reuse (tonnes),2014,10778
West Lancashire Borough Council,Household green recycling-reuse (tonnes),2015,11751
West Lancashire Borough Council,Household green recycling-reuse (tonnes),2016,12066
West Lancashire Borough Council,Household green recycling-reuse (tonnes),2017,9248
West Lancashire Borough Council,Household green recycling-reuse (tonnes),2018,9003
West Lancashire Borough Council,Household green recycling-reuse (tonnes),2019,10013
West Lancashire Borough Council,Household green recycling-reuse (tonnes),2020,10854
West Lancashire Borough Council,Household green recycling-reuse (tonnes),2021,10027
West Lancashire Borough Council,Household green recycling-reuse (tonnes),2022,8949
West Lancashire Borough Council,Household green recycling-reuse (tonnes),2023,9617
West Lancashire Borough Council,Local authority collected - estimated rejects (tonnes),2014,274
West Lancashire Borough Council,Local authority collected - estimated rejects (tonnes),2015,873
West Lancashire Borough Council,Local authority collected - estimated rejects (tonnes),2016,1051
West Lancashire Borough Council,Local authority collected - estimated rejects (tonnes),2017,1308
West Lancashire Borough Council,Local authority collected - estimated rejects (tonnes),2018,1265
West Lancashire Borough Council,Local authority collected - estimated rejects (tonnes),2019,848
West Lancashire Borough Council,Local authority collected - estimated rejects (tonnes),2020,792
West Lancashire Borough Council,Local authority collected - estimated rejects (tonnes),2021,601
West Lancashire Borough Council,Local authority collected - estimated rejects (tonnes),2022,910
West Lancashire Borough Council,Local authority collected - estimated rejects (tonnes),2023,945
West Lancashire Borough Council,Local authority collected waste - not sent for recycling (tonnes),2014,27757
West Lancashire Borough Council,Local authority collected waste - not sent for recycling (tonnes),2015,27149
West Lancashire Borough Council,Local authority collected waste - not sent for recycling (tonnes),2016,27194
West Lancashire Borough Council,Local authority collected waste - not sent for recycling (tonnes),2017,27106
West Lancashire Borough Council,Local authority collected waste - not sent for recycling (tonnes),2018,26428
West Lancashire Borough Council,Local authority collected waste - not sent for recycling (tonnes),2019,25069
West Lancashire Borough Council,Local authority collected waste - not sent for recycling (tonnes),2020,28193
West Lancashire Borough Council,Local authority collected waste - not sent for recycling (tonnes),2021,27692
West Lancashire Borough Council,Local authority collected waste - not sent for recycling (tonnes),2022,27769
West Lancashire Borough Council,Local authority collected waste - not sent for recycling (tonnes),2023,27156
West Lancashire Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2014,20709
West Lancashire Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2015,22573
West Lancashire Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2016,22348
West Lancashire Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2017,18782
West Lancashire Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2018,18951
West Lancashire Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2019,21170
West Lancashire Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2020,23923
West Lancashire Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2021,23614
West Lancashire Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2022,20849
West Lancashire Borough Council,Local authority collected waste - sent for recycling-composting-reuse (tonnes),2023,20976
West Lancashire Borough Council,Non-household - estimated rejects (tonnes),2014,0
West Lancashire Borough Council,Non-household - estimated rejects (tonnes),2015,0
West Lancashire Borough Council,Non-household - estimated rejects (tonnes),2016,0
West Lancashire Borough Council,Non-household - estimated rejects (tonnes),2017,0
West Lancashire Borough Council,Non-household - estimated rejects (tonnes),2018,0
West Lancashire Borough Council,Non-household - estimated rejects (tonnes),2019,0
West Lancashire Borough Council,Non-household - estimated rejects (tonnes),2020,0
West Lancashire Borough Council,Non-household - estimated rejects (tonnes),2021,0
West Lancashire Borough Council,Non-household - estimated rejects (tonnes),2022,0
West Lancashire Borough Council,Non-household - estimated rejects (tonnes),2023,0
West Lancashire Borough Council,Non-household - total waste (tonnes),2014,2831
West Lancashire Borough Council,Non-household - total waste (tonnes),2015,2569
West Lancashire Borough Council,Non-household - total waste (tonnes),2016,2588
West Lancashire Borough Council,Non-household - total waste (tonnes),2017,2573
West Lancashire Borough Council,Non-household - total waste (tonnes),2018,2507
West Lancashire Borough Council,Non-household - total waste (tonnes),2019,1821
West Lancashire Borough Council,Non-household - total waste (tonnes),2020,2788
West Lancashire Borough Council,Non-household - total waste (tonnes),2021,2004
West Lancashire Borough Council,Non-household - total waste (tonnes),2022,2175
West Lancashire Borough Council,Non-household - total waste (tonnes),2023,1887
West Lancashire Borough Council,Non-household - waste not sent for recycling (tonnes),2014,2801
West Lancashire Borough Council,Non-household - waste not sent for recycling (tonnes),2015,2337
West Lancashire Borough Council,Non-household - waste not sent for recycling (tonnes),2016,2364
West Lancashire Borough Council,Non-household - waste not sent for recycling (tonnes),2017,2392
West Lancashire Borough Council,Non-household - waste not sent for recycling (tonnes),2018,2318
West Lancashire Borough Council,Non-household - waste not sent for recycling (tonnes),2019,1377
West Lancashire Borough Council,Non-household - waste not sent for recycling (tonnes),2020,2586
West Lancashire Borough Council,Non-household - waste not sent for recycling (tonnes),2021,1796
West Lancashire Borough Council,Non-household - waste not sent for recycling (tonnes),2022,1995
West Lancashire Borough Council,Non-household - waste not sent for recycling (tonnes),2023,1731
West Lancashire Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2014,30
West Lancashire Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2015,231
West Lancashire Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2016,224
West Lancashire Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2017,182
West Lancashire Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2018,189
West Lancashire Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2019,444
West Lancashire Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2020,202
West Lancashire Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2021,208
West Lancashire Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2022,180
West Lancashire Borough Council,Non-household - waste sent for recycling-composting-reuse (tonnes),2023,155
West Lancashire Borough Council,Total local authority collected waste (tonnes),2014,48466
West Lancashire Borough Council,Total local authority collected waste (tonnes),2015,49722
West Lancashire Borough Council,Total local authority collected waste (tonnes),2016,49542
West Lancashire Borough Council,Total local authority collected waste (tonnes),2017,45888
West Lancashire Borough Council,Total local authority collected waste (tonnes),2018,45379
West Lancashire Borough Council,Total local authority collected waste (tonnes),2019,46239
West Lancashire Borough Council,Total local authority collected waste (tonnes),2020,52116
West Lancashire Borough Council,Total local authority collected waste (tonnes),2021,51306
West Lancashire Borough Council,Total local authority collected waste (tonnes),2022,48618
West Lancashire Borough Council,Total local authority collected waste (tonnes),2023,48132
Wyre Borough Council,Household - civic amenity sites (not recycled) (tonnes),2014,0
Wyre Borough Council,Household - civic amenity sites (not recycled) (tonnes),2015,0
