Local Authority,Statistics,Sex,Pay Type,Attribute,Sum of Value
Hyndburn,10 percentile,Male,Annual pay - gross,Confidence,91
Hyndburn,10 percentile,Male,Annual pay - gross,Value,56821
Lancaster,10 percentile,Male,Annual pay - gross,Confidence,138
Lancaster,10 percentile,Male,Annual pay - gross,Value,107866
North West,10 percentile,Male,Annual pay - gross,Confidence,94.6
North West,10 percentile,Male,Annual pay - gross,Value,221926
Pendle,10 percentile,Male,Annual pay - gross,Confidence,64
Pendle,10 percentile,Male,Annual pay - gross,Value,54402
Preston,10 percentile,Male,Annual pay - gross,Confidence,96
Preston,10 percentile,Male,Annual pay - gross,Value,59681
South Ribble,10 percentile,Male,Annual pay - gross,Confidence,143
South Ribble,10 percentile,Male,Annual pay - gross,Value,116949
West Lancashire,10 percentile,Male,Annual pay - gross,Confidence,89
West Lancashire,10 percentile,Male,Annual pay - gross,Value,72269
Wyre,10 percentile,Male,Annual pay - gross,Confidence,38
Wyre,10 percentile,Male,Annual pay - gross,Value,29362
Blackburn with Darwen,10 percentile,Male,Hourly pay - gross,Confidence,42
Blackburn with Darwen,10 percentile,Male,Hourly pay - gross,Value,141.93
Blackpool,10 percentile,Male,Hourly pay - gross,Confidence,37.6
Blackpool,10 percentile,Male,Hourly pay - gross,Value,137.35
Burnley,10 percentile,Male,Hourly pay - gross,Confidence,70.8
Burnley,10 percentile,Male,Hourly pay - gross,Value,134.69
Chorley,10 percentile,Male,Hourly pay - gross,Confidence,74.1
Chorley,10 percentile,Male,Hourly pay - gross,Value,148.41
Fylde,10 percentile,Male,Hourly pay - gross,Confidence,136.5
Fylde,10 percentile,Male,Hourly pay - gross,Value,146.61
Great Britain,10 percentile,Male,Hourly pay - gross,Confidence,2.9
Great Britain,10 percentile,Male,Hourly pay - gross,Value,150.05
Hyndburn,10 percentile,Male,Hourly pay - gross,Confidence,63.4
Hyndburn,10 percentile,Male,Hourly pay - gross,Value,118.26
Lancaster,10 percentile,Male,Hourly pay - gross,Confidence,60.3
Lancaster,10 percentile,Male,Hourly pay - gross,Value,146.14
North West,10 percentile,Male,Hourly pay - gross,Confidence,8.2
North West,10 percentile,Male,Hourly pay - gross,Value,147.09
Pendle,10 percentile,Male,Hourly pay - gross,Confidence,97.3
Pendle,10 percentile,Male,Hourly pay - gross,Value,134.24
Preston,10 percentile,Male,Hourly pay - gross,Confidence,34.5
Preston,10 percentile,Male,Hourly pay - gross,Value,142.39
Ribble Valley,10 percentile,Male,Hourly pay - gross,Confidence,121
Ribble Valley,10 percentile,Male,Hourly pay - gross,Value,126.92
Rossendale,10 percentile,Male,Hourly pay - gross,Confidence,65.7
Rossendale,10 percentile,Male,Hourly pay - gross,Value,102.95
South Ribble,10 percentile,Male,Hourly pay - gross,Confidence,93
South Ribble,10 percentile,Male,Hourly pay - gross,Value,152.01
West Lancashire,10 percentile,Male,Hourly pay - gross,Confidence,98.2
West Lancashire,10 percentile,Male,Hourly pay - gross,Value,148.84
Wyre,10 percentile,Male,Hourly pay - gross,Confidence,70.8
Wyre,10 percentile,Male,Hourly pay - gross,Value,143.47
Blackburn with Darwen,10 percentile,Male,Weekly pay - gross,Confidence,239
Blackburn with Darwen,10 percentile,Male,Weekly pay - gross,Value,3635.1
Blackpool,10 percentile,Male,Weekly pay - gross,Confidence,226
Blackpool,10 percentile,Male,Weekly pay - gross,Value,2112.5
Burnley,10 percentile,Male,Weekly pay - gross,Confidence,117
Burnley,10 percentile,Male,Weekly pay - gross,Value,1816.8
Chorley,10 percentile,Male,Weekly pay - gross,Confidence,40
Chorley,10 percentile,Male,Weekly pay - gross,Value,398.6
Fylde,10 percentile,Male,Weekly pay - gross,Confidence,67
Fylde,10 percentile,Male,Weekly pay - gross,Value,1160.2
Great Britain,10 percentile,Male,Weekly pay - gross,Confidence,16.2
Great Britain,10 percentile,Male,Weekly pay - gross,Value,4220.9
Hyndburn,10 percentile,Male,Weekly pay - gross,Confidence,88
Hyndburn,10 percentile,Male,Weekly pay - gross,Value,973.8
Lancaster,10 percentile,Male,Weekly pay - gross,Confidence,171
Lancaster,10 percentile,Male,Weekly pay - gross,Value,2483.1
North West,10 percentile,Male,Weekly pay - gross,Confidence,51
North West,10 percentile,Male,Weekly pay - gross,Value,4043.4
Pendle,10 percentile,Male,Weekly pay - gross,Confidence,140.7
Pendle,10 percentile,Male,Weekly pay - gross,Value,2025.1
Preston,10 percentile,Male,Weekly pay - gross,Confidence,170
Preston,10 percentile,Male,Weekly pay - gross,Value,2106.5
Ribble Valley,10 percentile,Male,Weekly pay - gross,Confidence,61
Ribble Valley,10 percentile,Male,Weekly pay - gross,Value,1379.4
Rossendale,10 percentile,Male,Weekly pay - gross,Confidence,11
Rossendale,10 percentile,Male,Weekly pay - gross,Value,233.3
South Ribble,10 percentile,Male,Weekly pay - gross,Confidence,198
South Ribble,10 percentile,Male,Weekly pay - gross,Value,3242.2
West Lancashire,10 percentile,Male,Weekly pay - gross,Confidence,79.1
West Lancashire,10 percentile,Male,Weekly pay - gross,Value,1370
Wyre,10 percentile,Male,Weekly pay - gross,Confidence,83
Wyre,10 percentile,Male,Weekly pay - gross,Value,1150.4
Great Britain,10 percentile,Part Time Workers,Annual pay - gross,Confidence,47.6
Great Britain,10 percentile,Part Time Workers,Annual pay - gross,Value,60166
Lancaster,10 percentile,Part Time Workers,Annual pay - gross,Confidence,16
Lancaster,10 percentile,Part Time Workers,Annual pay - gross,Value,3886
North West,10 percentile,Part Time Workers,Annual pay - gross,Confidence,148
North West,10 percentile,Part Time Workers,Annual pay - gross,Value,60408
Blackburn with Darwen,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,72
Blackburn with Darwen,10 percentile,Part Time Workers,Hourly pay - gross,Value,93.76
Blackpool,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,93.2
Blackpool,10 percentile,Part Time Workers,Hourly pay - gross,Value,106.14
Burnley,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,9.1
Burnley,10 percentile,Part Time Workers,Hourly pay - gross,Value,13.05
Chorley,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,100.1
Chorley,10 percentile,Part Time Workers,Hourly pay - gross,Value,135.58
Fylde,10 percentile,Part Time Workers,Hourly pay - gross,Confidence,6.8
